Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.822898693711562, 'accuracy': 0.9371158392434988, 'precision': 0.9360593562782992, 'recall': 0.9371158392434988, 'f1': 0.9356815226602802, 'roc_auc': 0.9785766260432206}, tiempo_total=6.27 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.8378467574021344, 'accuracy': 0.9432624113475179, 'precision': 0.9417646697892781, 'recall': 0.9432624113475179, 'f1': 0.9412160013033846, 'roc_auc': 0.98682299562114}, tiempo_total=2.17 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.8378467574021344, 'accuracy': 0.9432624113475179, 'precision': 0.9417646697892781, 'recall': 0.9432624113475179, 'f1': 0.9412160013033846, 'roc_auc': 0.98682299562114}, tiempo_total=2.17 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.8161837945363167, 'accuracy': 0.9352245862884161, 'precision': 0.9335347681710309, 'recall': 0.9352245862884161, 'f1': 0.9333023987027003, 'roc_auc': 0.979451005583552}, tiempo_total=5.83 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.8228930521740292, 'accuracy': 0.9385342789598109, 'precision': 0.9367926074671853, 'recall': 0.9385342789598109, 'f1': 0.936324166092555, 'roc_auc': 0.9861028278366197}, tiempo_total=2.08 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.8228930521740292, 'accuracy': 0.9385342789598109, 'precision': 0.9367926074671853, 'recall': 0.9385342789598109, 'f1': 0.936324166092555, 'roc_auc': 0.9861028278366197}, tiempo_total=2.06 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.8094189229058719, 'accuracy': 0.9328605200945626, 'precision': 0.9311720427917557, 'recall': 0.9328605200945626, 'f1': 0.9308516298084906, 'roc_auc': 0.9807927562729454}, tiempo_total=5.54 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.8146730099562369, 'accuracy': 0.9361702127659575, 'precision': 0.9340969035308792, 'recall': 0.9361702127659575, 'f1': 0.9336044503261454, 'roc_auc': 0.9839733226700405}, tiempo_total=1.99 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.8146730099562369, 'accuracy': 0.9361702127659575, 'precision': 0.9340969035308792, 'recall': 0.9361702127659575, 'f1': 0.9336044503261454, 'roc_auc': 0.9839733226700405}, tiempo_total=2.00 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.8172239109617594, 'accuracy': 0.9352245862884161, 'precision': 0.9338452100741614, 'recall': 0.9352245862884161, 'f1': 0.9336264142202833, 'roc_auc': 0.9783826546698757}, tiempo_total=6.08 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.8316612285650382, 'accuracy': 0.9408983451536642, 'precision': 0.9396589022355, 'recall': 0.9408983451536642, 'f1': 0.9391370700534702, 'roc_auc': 0.9864532288662385}, tiempo_total=2.12 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.8316612285650382, 'accuracy': 0.9408983451536642, 'precision': 0.9396589022355, 'recall': 0.9408983451536642, 'f1': 0.9391370700534702, 'roc_auc': 0.9864532288662385}, tiempo_total=2.09 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.8174343146563766, 'accuracy': 0.9356973995271869, 'precision': 0.9341939322062501, 'recall': 0.9356973995271869, 'f1': 0.9338735081588535, 'roc_auc': 0.9795725188684756}, tiempo_total=5.88 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.8293649451984475, 'accuracy': 0.9404255319148935, 'precision': 0.9391270771478293, 'recall': 0.9404255319148935, 'f1': 0.9384394786925299, 'roc_auc': 0.9855280056522236}, tiempo_total=2.07 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.8293649451984475, 'accuracy': 0.9404255319148935, 'precision': 0.9391270771478293, 'recall': 0.9404255319148935, 'f1': 0.9384394786925299, 'roc_auc': 0.9855280056522236}, tiempo_total=2.12 segundos

