Resultados de SVM con validacion cruzada (5 folds):

C=0.001, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.17357984078395514, 'accuracy': 0.8033096926713948, 'precision': 0.701503041232582, 'recall': 0.8033096926713948, 'f1': 0.7287515242218028, 'roc_auc': 0.9505334423614556}, tiempo_total=1.46 segundos

C=0.001, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.17357984078395514, 'accuracy': 0.8033096926713948, 'precision': 0.701503041232582, 'recall': 0.8033096926713948, 'f1': 0.7287515242218028, 'roc_auc': 0.9505334423614556}, tiempo_total=1.44 segundos

C=0.001, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.9230785974710486}, tiempo_total=1.66 segundos

C=0.001, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.07816936552334383, 'accuracy': 0.789598108747045, 'precision': 0.6932692887355947, 'recall': 0.789598108747045, 'f1': 0.7047042048878842, 'roc_auc': 0.9468377771317747}, tiempo_total=1.67 segundos

C=0.001, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.14967549767570004, 'accuracy': 0.7995271867612294, 'precision': 0.7143730529269223, 'recall': 0.7995271867612294, 'f1': 0.7237240057199985, 'roc_auc': 0.899292453050152}, tiempo_total=1.75 segundos

C=0.001, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.1925068291050818, 'accuracy': 0.8052009456264775, 'precision': 0.7431685685222894, 'recall': 0.8052009456264775, 'f1': 0.734341753275506, 'roc_auc': 0.917036832390087}, tiempo_total=1.75 segundos

C=0.001, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.22330985277598478, 'accuracy': 0.8099290780141845, 'precision': 0.7465511034405228, 'recall': 0.8099290780141845, 'f1': 0.7414873876864474, 'roc_auc': 0.9042221514556161}, tiempo_total=1.80 segundos

C=0.001, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.26972369872807667, 'accuracy': 0.8174940898345152, 'precision': 0.7369347030354593, 'recall': 0.8174940898345152, 'f1': 0.7517615250464147, 'roc_auc': 0.9054054119051222}, tiempo_total=1.69 segundos

C=0.001, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.29638634154265053, 'accuracy': 0.8217494089834515, 'precision': 0.7403387328938512, 'recall': 0.8217494089834515, 'f1': 0.757548681872674, 'roc_auc': 0.8857918809545862}, tiempo_total=1.83 segundos

C=0.001, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.3165656478024587, 'accuracy': 0.8245862884160756, 'precision': 0.745987905276358, 'recall': 0.8245862884160756, 'f1': 0.7614993746821883, 'roc_auc': 0.870501877921329}, tiempo_total=1.72 segundos

C=0.001, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.33582827400501564, 'accuracy': 0.8274231678486998, 'precision': 0.7411022882377706, 'recall': 0.8274231678486998, 'f1': 0.7652508820221819, 'roc_auc': 0.8298927769621784}, tiempo_total=1.84 segundos

C=0.001, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.9231585885965765}, tiempo_total=1.68 segundos

C=0.001, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.07493188733593574, 'accuracy': 0.7891252955082744, 'precision': 0.6929728465566223, 'recall': 0.7891252955082744, 'f1': 0.7038781275909567, 'roc_auc': 0.9468955481566805}, tiempo_total=1.65 segundos

C=0.001, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.11725976147078601, 'accuracy': 0.7947990543735225, 'precision': 0.6972880057266301, 'recall': 0.7947990543735225, 'f1': 0.715074041652079, 'roc_auc': 0.8972586221392378}, tiempo_total=1.73 segundos

C=0.001, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.1693475157262553, 'accuracy': 0.8018912529550828, 'precision': 0.740041980369313, 'recall': 0.8018912529550828, 'f1': 0.7286830376403655, 'roc_auc': 0.9041879004025809}, tiempo_total=1.66 segundos

C=0.001, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.20481829943558924, 'accuracy': 0.8070921985815603, 'precision': 0.7431123003093352, 'recall': 0.8070921985815603, 'f1': 0.7371058305567926, 'roc_auc': 0.8989812022589728}, tiempo_total=1.76 segundos

