Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.33262072155347966, 'accuracy': 0.8217494089834515, 'precision': 0.7894282752066746, 'recall': 0.8217494089834515, 'f1': 0.7753789112581958, 'roc_auc': 0.9315073818721002}, tiempo_total=0.40 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.3867546129135362, 'accuracy': 0.8293144208037825, 'precision': 0.8061382557240767, 'recall': 0.8293144208037825, 'f1': 0.7921043947116256, 'roc_auc': 0.9332695688136058}, tiempo_total=0.39 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.5809393335326419, 'accuracy': 0.8709219858156028, 'precision': 0.8580024920679635, 'recall': 0.8709219858156028, 'f1': 0.8541136130215449, 'roc_auc': 0.9535768060288417}, tiempo_total=0.19 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.5809393335326419, 'accuracy': 0.8709219858156028, 'precision': 0.8580024920679635, 'recall': 0.8709219858156028, 'f1': 0.8541136130215449, 'roc_auc': 0.953575874048686}, tiempo_total=0.38 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.5809393335326419, 'accuracy': 0.8709219858156028, 'precision': 0.8580024920679635, 'recall': 0.8709219858156028, 'f1': 0.8541136130215449, 'roc_auc': 0.953574633768605}, tiempo_total=0.22 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6286009782668535, 'accuracy': 0.8803782505910165, 'precision': 0.8708192385241234, 'recall': 0.8803782505910165, 'f1': 0.8695057635743183, 'roc_auc': 0.9569781097145817}, tiempo_total=0.19 segundos

