Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.162462953891276, 'accuracy': 0.4601948051948052, 'precision': 0.43209668513420585, 'recall': 0.4601948051948052, 'f1': 0.4374324121215212}, tiempo_total=1.76 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.1724116148465676, 'accuracy': 0.47103896103896103, 'precision': 0.43388463347721534, 'recall': 0.47103896103896103, 'f1': 0.4406930654925748}, tiempo_total=1.16 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.1724116148465676, 'accuracy': 0.47103896103896103, 'precision': 0.43388463347721534, 'recall': 0.47103896103896103, 'f1': 0.4406930654925748}, tiempo_total=1.15 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.14747074060711143, 'accuracy': 0.45298701298701294, 'precision': 0.4201818269627601, 'recall': 0.45298701298701294, 'f1': 0.42720572599325857}, tiempo_total=1.71 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.1932734399828582, 'accuracy': 0.4890909090909091, 'precision': 0.4395040040720811, 'recall': 0.4890909090909091, 'f1': 0.4500975254636799}, tiempo_total=1.12 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.1932734399828582, 'accuracy': 0.4890909090909091, 'precision': 0.4395040040720811, 'recall': 0.4890909090909091, 'f1': 0.4500975254636799}, tiempo_total=1.11 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.17021360264848479, 'accuracy': 0.4675324675324675, 'precision': 0.43121510220803094, 'recall': 0.4675324675324675, 'f1': 0.4390573817599345}, tiempo_total=1.52 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18769715598050044, 'accuracy': 0.48558441558441556, 'precision': 0.42884665987607173, 'recall': 0.48558441558441556, 'f1': 0.44421444863904824}, tiempo_total=1.07 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18769715598050044, 'accuracy': 0.48558441558441556, 'precision': 0.42884665987607173, 'recall': 0.48558441558441556, 'f1': 0.44421444863904824}, tiempo_total=1.06 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.167733150385217, 'accuracy': 0.464025974025974, 'precision': 0.4179792583060915, 'recall': 0.464025974025974, 'f1': 0.43400425841269347}, tiempo_total=1.70 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.17324177547694317, 'accuracy': 0.4746103896103896, 'precision': 0.4243449976115038, 'recall': 0.4746103896103896, 'f1': 0.4369228172265706}, tiempo_total=1.19 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.17324177547694317, 'accuracy': 0.4746103896103896, 'precision': 0.4243449976115038, 'recall': 0.4746103896103896, 'f1': 0.4369228172265706}, tiempo_total=1.36 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.16129349247802524, 'accuracy': 0.4638311688311688, 'precision': 0.42415176168310975, 'recall': 0.4638311688311688, 'f1': 0.43328143813017767}, tiempo_total=1.73 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.2202135526980399, 'accuracy': 0.5034415584415585, 'precision': 0.4591861535724265, 'recall': 0.5034415584415585, 'f1': 0.4678644217651756}, tiempo_total=1.16 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.2202135526980399, 'accuracy': 0.5034415584415585, 'precision': 0.4591861535724265, 'recall': 0.5034415584415585, 'f1': 0.4678644217651756}, tiempo_total=1.32 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.17021360264848479, 'accuracy': 0.4675324675324675, 'precision': 0.43121510220803094, 'recall': 0.4675324675324675, 'f1': 0.4390573817599345}, tiempo_total=1.65 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18769715598050044, 'accuracy': 0.48558441558441556, 'precision': 0.42884665987607173, 'recall': 0.48558441558441556, 'f1': 0.44421444863904824}, tiempo_total=1.09 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18769715598050044, 'accuracy': 0.48558441558441556, 'precision': 0.42884665987607173, 'recall': 0.48558441558441556, 'f1': 0.44421444863904824}, tiempo_total=1.08 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.16006451343554434, 'accuracy': 0.46032467532467536, 'precision': 0.4231808727723597, 'recall': 0.46032467532467536, 'f1': 0.433483546012219}, tiempo_total=1.63 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.17045082271378004, 'accuracy': 0.4745454545454545, 'precision': 0.42814789639810236, 'recall': 0.4745454545454545, 'f1': 0.4370148645691982}, tiempo_total=1.07 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.17045082271378004, 'accuracy': 0.4745454545454545, 'precision': 0.42814789639810236, 'recall': 0.4745454545454545, 'f1': 0.4370148645691982}, tiempo_total=1.06 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.16876559463403218, 'accuracy': 0.4675324675324675, 'precision': 0.4298964273274618, 'recall': 0.4675324675324675, 'f1': 0.43852469326389365}, tiempo_total=1.58 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.18558328917391193, 'accuracy': 0.4856493506493507, 'precision': 0.4455651048298107, 'recall': 0.4856493506493507, 'f1': 0.44156694323921214}, tiempo_total=1.08 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.18558328917391193, 'accuracy': 0.4856493506493507, 'precision': 0.4455651048298107, 'recall': 0.4856493506493507, 'f1': 0.44156694323921214}, tiempo_total=1.05 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.16774966828950053, 'accuracy': 0.4674675324675325, 'precision': 0.43109106547530196, 'recall': 0.4674675324675325, 'f1': 0.43779713140879684}, tiempo_total=1.49 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.16292387721299348, 'accuracy': 0.4711038961038961, 'precision': 0.4084757611579827, 'recall': 0.4711038961038961, 'f1': 0.4268637364548412}, tiempo_total=1.15 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.16292387721299348, 'accuracy': 0.4711038961038961, 'precision': 0.4084757611579827, 'recall': 0.4711038961038961, 'f1': 0.4268637364548412}, tiempo_total=1.30 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.19444258867696873, 'accuracy': 0.4891558441558441, 'precision': 0.46098363736338166, 'recall': 0.4891558441558441, 'f1': 0.4474794955731043}, tiempo_total=1.26 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.19431712705080245, 'accuracy': 0.4998701298701299, 'precision': 0.40178012690064335, 'recall': 0.4998701298701299, 'f1': 0.43412706434506526}, tiempo_total=0.98 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.19431712705080245, 'accuracy': 0.4998701298701299, 'precision': 0.40178012690064335, 'recall': 0.4998701298701299, 'f1': 0.43412706434506526}, tiempo_total=0.96 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.2048341708108503, 'accuracy': 0.4963636363636364, 'precision': 0.46652088552292154, 'recall': 0.4963636363636364, 'f1': 0.4531742848790573}, tiempo_total=1.26 segundos

