Resultados de SVM con validacion cruzada (5 folds):

C=0.001, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.19 segundos

C=0.001, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.19 segundos

C=0.001, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.19 segundos

C=0.001, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.27 segundos

C=0.001, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.23 segundos

C=0.001, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.21 segundos

C=0.001, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.006187729417933907, 'accuracy': 0.40577922077922074, 'precision': 0.23026092089728456, 'recall': 0.40577922077922074, 'f1': 0.23815053993625418}, tiempo_total=0.17 segundos

C=0.001, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.006187729417933907, 'accuracy': 0.40577922077922074, 'precision': 0.23026092089728456, 'recall': 0.40577922077922074, 'f1': 0.23815053993625418}, tiempo_total=0.19 segundos

C=0.001, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.006798866855524088, 'accuracy': 0.4058441558441559, 'precision': 0.2279447880162166, 'recall': 0.4058441558441559, 'f1': 0.23831973449198332}, tiempo_total=0.27 segundos

