Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.3912987012987013, 'precision': 0.1537103221453871, 'recall': 0.3912987012987013, 'f1': 0.22055404055404054}, tiempo_total=0.12 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.12 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.21319055935674963, 'accuracy': 0.5146753246753246, 'precision': 0.4104441574685477, 'recall': 0.5146753246753246, 'f1': 0.44072936548043173}, tiempo_total=0.19 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.21319055935674963, 'accuracy': 0.5146753246753246, 'precision': 0.4104441574685477, 'recall': 0.5146753246753246, 'f1': 0.44072936548043173}, tiempo_total=0.18 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.21319055935674963, 'accuracy': 0.5146753246753246, 'precision': 0.4104441574685477, 'recall': 0.5146753246753246, 'f1': 0.44072936548043173}, tiempo_total=0.16 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.22604600881491183, 'accuracy': 0.5218831168831168, 'precision': 0.4145271672211888, 'recall': 0.5218831168831168, 'f1': 0.4472325365369108}, tiempo_total=0.13 segundos

C=0.01, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.22604600881491183, 'accuracy': 0.5218831168831168, 'precision': 0.4145271672211888, 'recall': 0.5218831168831168, 'f1': 0.4472325365369108}, tiempo_total=0.14 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.22604600881491183, 'accuracy': 0.5218831168831168, 'precision': 0.4145271672211888, 'recall': 0.5218831168831168, 'f1': 0.4472325365369108}, tiempo_total=0.12 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.11 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.10 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.25273348259212663, 'accuracy': 0.5036363636363637, 'precision': 0.4904111905019438, 'recall': 0.5036363636363637, 'f1': 0.4869796452039331}, tiempo_total=0.37 segundos

C=0.01, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.24487190097064274, 'accuracy': 0.5037662337662338, 'precision': 0.4853273852761949, 'recall': 0.5037662337662338, 'f1': 0.4838363846458716}, tiempo_total=1.74 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.248465809270012, 'accuracy': 0.5, 'precision': 0.4888568555088737, 'recall': 0.5, 'f1': 0.4844194086924771}, tiempo_total=0.30 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.2325277646898914, 'accuracy': 0.4855194805194805, 'precision': 0.4794294365909549, 'recall': 0.4855194805194805, 'f1': 0.4757311167521324}, tiempo_total=0.51 segundos

C=0.01, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23837046833222475, 'accuracy': 0.49642857142857144, 'precision': 0.4831977481579212, 'recall': 0.49642857142857144, 'f1': 0.4836104403724636}, tiempo_total=1.00 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.23276468118525134, 'accuracy': 0.48545454545454536, 'precision': 0.4809863381873821, 'recall': 0.48545454545454536, 'f1': 0.47638814606663793}, tiempo_total=0.42 segundos

C=0.1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.22986377959852025, 'accuracy': 0.5217532467532467, 'precision': 0.44049146528107974, 'recall': 0.5217532467532467, 'f1': 0.4527021641981035}, tiempo_total=0.16 segundos

C=0.1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23133621530624424, 'accuracy': 0.521883116883117, 'precision': 0.39871372545638356, 'recall': 0.521883116883117, 'f1': 0.4480922977798235}, tiempo_total=0.14 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.23934356620650643, 'accuracy': 0.5218831168831168, 'precision': 0.4677564080940705, 'recall': 0.5218831168831168, 'f1': 0.468365536462186}, tiempo_total=0.18 segundos

C=0.1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.23934356620650643, 'accuracy': 0.5218831168831168, 'precision': 0.4677564080940705, 'recall': 0.5218831168831168, 'f1': 0.468365536462186}, tiempo_total=0.36 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.23934356620650643, 'accuracy': 0.5218831168831168, 'precision': 0.4677564080940705, 'recall': 0.5218831168831168, 'f1': 0.468365536462186}, tiempo_total=0.17 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.22802346054818315, 'accuracy': 0.5110389610389611, 'precision': 0.4522975717795452, 'recall': 0.5110389610389611, 'f1': 0.4658850254676872}, tiempo_total=0.15 segundos

