Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7317613886782319, 'accuracy': 0.832258064516129, 'precision': 0.8361996813700397, 'recall': 0.832258064516129, 'f1': 0.8323840601061129, 'roc_auc': 0.9459285714285715}, tiempo_total=1.31 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7511346491366202, 'accuracy': 0.8451612903225806, 'precision': 0.8454036367463692, 'recall': 0.8451612903225806, 'f1': 0.8434874154305543, 'roc_auc': 0.950544642857143}, tiempo_total=1.19 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7511346491366202, 'accuracy': 0.8451612903225806, 'precision': 0.8454036367463692, 'recall': 0.8451612903225806, 'f1': 0.8434874154305543, 'roc_auc': 0.950544642857143}, tiempo_total=1.13 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7368070018736349, 'accuracy': 0.835483870967742, 'precision': 0.8393513051397079, 'recall': 0.835483870967742, 'f1': 0.8355426796252139, 'roc_auc': 0.946470238095238}, tiempo_total=1.24 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7462198450240147, 'accuracy': 0.8419354838709678, 'precision': 0.8446139885161218, 'recall': 0.8419354838709678, 'f1': 0.8396448217355552, 'roc_auc': 0.9520515873015872}, tiempo_total=1.09 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7462198450240147, 'accuracy': 0.8419354838709678, 'precision': 0.8446139885161218, 'recall': 0.8419354838709678, 'f1': 0.8396448217355552, 'roc_auc': 0.9520515873015872}, tiempo_total=1.12 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7423183969227628, 'accuracy': 0.8387096774193548, 'precision': 0.8450752718529717, 'recall': 0.8387096774193548, 'f1': 0.8388865387665531, 'roc_auc': 0.9482837301587301}, tiempo_total=1.22 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7342057217508904, 'accuracy': 0.835483870967742, 'precision': 0.8352715999910952, 'recall': 0.835483870967742, 'f1': 0.8300890850554051, 'roc_auc': 0.9502142857142857}, tiempo_total=1.06 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7342057217508904, 'accuracy': 0.835483870967742, 'precision': 0.8352715999910952, 'recall': 0.835483870967742, 'f1': 0.8300890850554051, 'roc_auc': 0.9502142857142857}, tiempo_total=1.07 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7309967236498232, 'accuracy': 0.832258064516129, 'precision': 0.8347150190789258, 'recall': 0.832258064516129, 'f1': 0.8316559249423093, 'roc_auc': 0.9476607142857143}, tiempo_total=1.26 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7412215286061257, 'accuracy': 0.8387096774193548, 'precision': 0.8401460806884279, 'recall': 0.8387096774193548, 'f1': 0.8371170301512473, 'roc_auc': 0.9505734126984127}, tiempo_total=1.12 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7412215286061257, 'accuracy': 0.8387096774193548, 'precision': 0.8401460806884279, 'recall': 0.8387096774193548, 'f1': 0.8371170301512473, 'roc_auc': 0.9505734126984127}, tiempo_total=1.09 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7363638956442491, 'accuracy': 0.835483870967742, 'precision': 0.8386592932319287, 'recall': 0.835483870967742, 'f1': 0.835005257296735, 'roc_auc': 0.9467182539682539}, tiempo_total=1.24 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7461784935128325, 'accuracy': 0.8419354838709678, 'precision': 0.8446625770034775, 'recall': 0.8419354838709678, 'f1': 0.839773800319341, 'roc_auc': 0.952047619047619}, tiempo_total=1.08 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7461784935128325, 'accuracy': 0.8419354838709678, 'precision': 0.8446625770034775, 'recall': 0.8419354838709678, 'f1': 0.839773800319341, 'roc_auc': 0.952047619047619}, tiempo_total=1.10 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7423183969227628, 'accuracy': 0.8387096774193548, 'precision': 0.8450752718529717, 'recall': 0.8387096774193548, 'f1': 0.8388865387665531, 'roc_auc': 0.9482837301587301}, tiempo_total=1.21 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7342057217508904, 'accuracy': 0.835483870967742, 'precision': 0.8352715999910952, 'recall': 0.835483870967742, 'f1': 0.8300890850554051, 'roc_auc': 0.9502142857142857}, tiempo_total=1.08 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7342057217508904, 'accuracy': 0.835483870967742, 'precision': 0.8352715999910952, 'recall': 0.835483870967742, 'f1': 0.8300890850554051, 'roc_auc': 0.9502142857142857}, tiempo_total=1.07 segundos

