Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.5}, tiempo_total=0.14 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.5}, tiempo_total=0.13 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.48931090391945425, 'accuracy': 0.703225806451613, 'precision': 0.6063805418053592, 'recall': 0.703225806451613, 'f1': 0.6324993463048832, 'roc_auc': 0.9023432539682539}, tiempo_total=0.16 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.48931090391945425, 'accuracy': 0.703225806451613, 'precision': 0.6063805418053592, 'recall': 0.703225806451613, 'f1': 0.6324993463048832, 'roc_auc': 0.902422619047619}, tiempo_total=0.14 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.48931090391945425, 'accuracy': 0.703225806451613, 'precision': 0.6063805418053592, 'recall': 0.703225806451613, 'f1': 0.6324993463048832, 'roc_auc': 0.9023432539682539}, tiempo_total=0.21 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.5531237876668189, 'accuracy': 0.735483870967742, 'precision': 0.7422944953534498, 'recall': 0.735483870967742, 'f1': 0.6849155736583662, 'roc_auc': 0.9143015873015873}, tiempo_total=0.23 segundos

C=0.01, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.5531237876668189, 'accuracy': 0.735483870967742, 'precision': 0.7422944953534498, 'recall': 0.735483870967742, 'f1': 0.6849155736583662, 'roc_auc': 0.9143015873015873}, tiempo_total=0.12 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.5531237876668189, 'accuracy': 0.735483870967742, 'precision': 0.7422944953534498, 'recall': 0.735483870967742, 'f1': 0.6849155736583662, 'roc_auc': 0.9143015873015873}, tiempo_total=0.12 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0030090270812436425, 'accuracy': 0.4838709677419355, 'precision': 0.23643404240801077, 'recall': 0.4838709677419355, 'f1': 0.31764869072021945, 'roc_auc': 0.8698015873015873}, tiempo_total=0.12 segundos

C=0.01, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.17044965992668715, 'accuracy': 0.5516129032258064, 'precision': 0.42613621054191436, 'recall': 0.5516129032258064, 'f1': 0.4441843196966446, 'roc_auc': 0.8668650793650794}, tiempo_total=0.11 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.959079365079365}, tiempo_total=0.16 segundos

C=0.01, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9593492063492064}, tiempo_total=0.44 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9591904761904761}, tiempo_total=0.17 segundos

C=0.01, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.9621646825396827}, tiempo_total=0.15 segundos

C=0.01, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.48 segundos

C=0.01, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.16 segundos

C=0.1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7082789508647197, 'accuracy': 0.8225806451612903, 'precision': 0.8465774350711917, 'recall': 0.8225806451612903, 'f1': 0.8002719756327279, 'roc_auc': 0.9502281746031747}, tiempo_total=0.18 segundos

C=0.1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7537258953049857, 'accuracy': 0.8483870967741935, 'precision': 0.8568919768643317, 'recall': 0.8483870967741935, 'f1': 0.8377567933897737, 'roc_auc': 0.9550496031746032}, tiempo_total=0.19 segundos

C=0.1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7326044278875015, 'accuracy': 0.835483870967742, 'precision': 0.8352013915215626, 'recall': 0.835483870967742, 'f1': 0.83102867370228, 'roc_auc': 0.945404761904762}, tiempo_total=0.16 segundos

C=0.1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7326044278875015, 'accuracy': 0.835483870967742, 'precision': 0.8352013915215626, 'recall': 0.835483870967742, 'f1': 0.83102867370228, 'roc_auc': 0.945325396825397}, tiempo_total=0.16 segundos

