Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7102511642604638, 'accuracy': 0.8573176526490853, 'precision': 0.8578032236171959, 'recall': 0.8573176526490853, 'f1': 0.8569545201751525, 'roc_auc': 0.9153958975524524}, tiempo_total=2.06 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.7212042676240472, 'accuracy': 0.8627405559515324, 'precision': 0.8630257009955932, 'recall': 0.8627405559515324, 'f1': 0.862399137163052, 'roc_auc': 0.9288028372421173}, tiempo_total=1.40 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7212042676240472, 'accuracy': 0.8627405559515324, 'precision': 0.8630257009955932, 'recall': 0.8627405559515324, 'f1': 0.862399137163052, 'roc_auc': 0.9288028372421173}, tiempo_total=1.47 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7165765141072722, 'accuracy': 0.8605904015205512, 'precision': 0.8610232914623326, 'recall': 0.8605904015205512, 'f1': 0.860155843534829, 'roc_auc': 0.9184839789574367}, tiempo_total=2.01 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7338036356812694, 'accuracy': 0.8692860536944643, 'precision': 0.8700195962838098, 'recall': 0.8692860536944643, 'f1': 0.868709851303637, 'roc_auc': 0.926992154021715}, tiempo_total=1.41 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7338036356812694, 'accuracy': 0.8692860536944643, 'precision': 0.8700195962838098, 'recall': 0.8692860536944643, 'f1': 0.868709851303637, 'roc_auc': 0.926992154021715}, tiempo_total=1.42 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7116767668714991, 'accuracy': 0.8583927298645758, 'precision': 0.8591768566220026, 'recall': 0.8583927298645758, 'f1': 0.8577792505184064, 'roc_auc': 0.9192391010980583}, tiempo_total=1.92 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7467313266385532, 'accuracy': 0.8758315514373962, 'precision': 0.877312491481937, 'recall': 0.8758315514373962, 'f1': 0.875106061692301, 'roc_auc': 0.9274843624965079}, tiempo_total=1.35 segundos

criterion=gini, max_depth=None, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7467313266385532, 'accuracy': 0.8758315514373962, 'precision': 0.877312491481937, 'recall': 0.8758315514373962, 'f1': 0.875106061692301, 'roc_auc': 0.9274843624965079}, tiempo_total=1.42 segundos

criterion=gini, max_depth=None, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7143803317995878, 'accuracy': 0.8594856260394392, 'precision': 0.8599810098005409, 'recall': 0.8594856260394392, 'f1': 0.8590436422136245, 'roc_auc': 0.9168341690697046}, tiempo_total=2.22 segundos

