Resultados de SVM con validacion cruzada (5 folds):

C=0.001, C=0.001, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.39 segundos

C=0.001, C=0.001, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.36 segundos

C=0.001, C=0.001, gamma=scale, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.36 segundos

C=0.001, C=0.001, gamma=scale, degree=5 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.39 segundos

C=0.001, C=0.001, gamma=scale, degree=6 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.35 segundos

C=0.001, C=0.001, gamma=scale, degree=7 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.32 segundos

C=0.001, C=0.001, gamma=scale, degree=8 --> {'cohen_kappa': -0.002183661532462455, 'accuracy': 0.5523179975321699, 'precision': 0.30696585100944473, 'recall': 0.5523179975321699, 'f1': 0.394321394599068, 'roc_auc': 0.498989898989899}, tiempo_total=0.35 segundos

C=0.001, C=0.001, gamma=scale, degree=9 --> {'cohen_kappa': 0.0010582637378451, 'accuracy': 0.5533932663493742, 'precision': 0.5845688664539225, 'recall': 0.5533932663493742, 'f1': 0.4005486288563329, 'roc_auc': 0.5006192872566617}, tiempo_total=0.38 segundos

C=0.001, C=0.001, gamma=scale, degree=10 --> {'cohen_kappa': 0.0010582637378451, 'accuracy': 0.5533932663493742, 'precision': 0.5845688664539225, 'recall': 0.5533932663493742, 'f1': 0.4005486288563329, 'roc_auc': 0.5006192872566617}, tiempo_total=0.41 segundos

C=0.001, C=0.001, gamma=auto, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.35 segundos

C=0.001, C=0.001, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.32 segundos

C=0.001, C=0.001, gamma=auto, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.34 segundos

C=0.001, C=0.001, gamma=auto, degree=5 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.36 segundos

C=0.001, C=0.001, gamma=auto, degree=6 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.32 segundos

C=0.001, C=0.001, gamma=auto, degree=7 --> {'cohen_kappa': 0.0, 'accuracy': 0.5534108937070333, 'precision': 0.3072387305083388, 'recall': 0.5534108937070333, 'f1': 0.39482112958808896, 'roc_auc': 0.5}, tiempo_total=0.32 segundos

C=0.001, C=0.001, gamma=auto, degree=8 --> {'cohen_kappa': -0.004332024985008865, 'accuracy': 0.5512427287149657, 'precision': 0.3066975806579278, 'recall': 0.5512427287149657, 'f1': 0.3938292038629748, 'roc_auc': 0.49799979997999805}, tiempo_total=0.34 segundos

C=0.001, C=0.001, gamma=auto, degree=9 --> {'cohen_kappa': -0.002183661532462455, 'accuracy': 0.5523179975321699, 'precision': 0.30696585100944473, 'recall': 0.5523179975321699, 'f1': 0.394321394599068, 'roc_auc': 0.498989898989899}, tiempo_total=0.33 segundos

C=0.001, C=0.001, gamma=auto, degree=10 --> {'cohen_kappa': -0.002183661532462455, 'accuracy': 0.5523179975321699, 'precision': 0.30696585100944473, 'recall': 0.5523179975321699, 'f1': 0.394321394599068, 'roc_auc': 0.498989898989899}, tiempo_total=0.31 segundos

C=0.01, C=0.01, gamma=scale, degree=2 --> {'cohen_kappa': 0.5164454510172307, 'accuracy': 0.7667900581702802, 'precision': 0.8047201588841795, 'recall': 0.7667900581702802, 'f1': 0.7516110934061857, 'roc_auc': 0.7528081503196455}, tiempo_total=0.40 segundos

C=0.01, C=0.01, gamma=scale, degree=3 --> {'cohen_kappa': 0.594073291720638, 'accuracy': 0.8006874669487043, 'precision': 0.8222125686478845, 'recall': 0.8006874669487043, 'f1': 0.7959252473356279, 'roc_auc': 0.796669433044499}, tiempo_total=0.32 segundos

C=0.01, C=0.01, gamma=scale, degree=4 --> {'cohen_kappa': 0.49311559514757547, 'accuracy': 0.7514895117221929, 'precision': 0.7950577465423623, 'recall': 0.7514895117221929, 'f1': 0.7352067422914811, 'roc_auc': 0.7481088227630263}, tiempo_total=0.30 segundos

C=0.01, C=0.01, gamma=scale, degree=5 --> {'cohen_kappa': 0.5056325502474712, 'accuracy': 0.7537105587872377, 'precision': 0.7945990406371274, 'recall': 0.7537105587872377, 'f1': 0.7384826107458329, 'roc_auc': 0.7579117926327854}, tiempo_total=0.36 segundos

C=0.01, C=0.01, gamma=scale, degree=6 --> {'cohen_kappa': 0.5297109901511956, 'accuracy': 0.7571302661731008, 'precision': 0.8018651680181653, 'recall': 0.7571302661731008, 'f1': 0.7524710675011996, 'roc_auc': 0.772445008581035}, tiempo_total=0.32 segundos

C=0.01, C=0.01, gamma=scale, degree=7 --> {'cohen_kappa': 0.4655020545098897, 'accuracy': 0.7200599330160408, 'precision': 0.7916795075286551, 'recall': 0.7200599330160408, 'f1': 0.7104431187930768, 'roc_auc': 0.7429958847062148}, tiempo_total=0.32 segundos

C=0.01, C=0.01, gamma=scale, degree=8 --> {'cohen_kappa': 0.35711051229379925, 'accuracy': 0.6601797990481226, 'precision': 0.7607328852329497, 'recall': 0.6601797990481226, 'f1': 0.6395533929829298, 'roc_auc': 0.6891417525251624}, tiempo_total=0.33 segundos

C=0.01, C=0.01, gamma=scale, degree=9 --> {'cohen_kappa': 0.32533510671119376, 'accuracy': 0.6416181914331041, 'precision': 0.7618048410147329, 'recall': 0.6416181914331041, 'f1': 0.6126602767467609, 'roc_auc': 0.6736326595842289}, tiempo_total=0.32 segundos

C=0.01, C=0.01, gamma=scale, degree=10 --> {'cohen_kappa': 0.289293404653727, 'accuracy': 0.6219989423585404, 'precision': 0.7507574073962358, 'recall': 0.6219989423585404, 'f1': 0.5885327855559193, 'roc_auc': 0.6556036348772469}, tiempo_total=0.32 segundos

C=0.01, C=0.01, gamma=auto, degree=2 --> {'cohen_kappa': 0.034844756646411935, 'accuracy': 0.5653974969152125, 'precision': 0.6578460975457852, 'recall': 0.5653974969152125, 'f1': 0.4220019957997973, 'roc_auc': 0.5150835654989019}, tiempo_total=0.36 segundos

C=0.01, C=0.01, gamma=auto, degree=3 --> {'cohen_kappa': 0.022233532869829587, 'accuracy': 0.5610259122157588, 'precision': 0.5622595256097593, 'recall': 0.5610259122157588, 'f1': 0.4131370451144177, 'roc_auc': 0.5096387011911038}, tiempo_total=0.32 segundos

C=0.01, C=0.01, gamma=auto, degree=4 --> {'cohen_kappa': 0.0034371643394199626, 'accuracy': 0.5545037898818966, 'precision': 0.38524597513745923, 'recall': 0.5545037898818966, 'f1': 0.39729270090934077, 'roc_auc': 0.5014084507042254}, tiempo_total=0.30 segundos

C=0.01, C=0.01, gamma=auto, degree=5 --> {'cohen_kappa': 0.005989925618328095, 'accuracy': 0.555579058699101, 'precision': 0.4769625928998627, 'recall': 0.555579058699101, 'f1': 0.3996854971542586, 'roc_auc': 0.5025849212924607}, tiempo_total=0.28 segundos

C=0.01, C=0.01, gamma=auto, degree=6 --> {'cohen_kappa': 0.006670890719290589, 'accuracy': 0.555579058699101, 'precision': 0.6240550241087242, 'recall': 0.555579058699101, 'f1': 0.40349329421968827, 'roc_auc': 0.5030378389709881}, tiempo_total=0.30 segundos

C=0.01, C=0.01, gamma=auto, degree=7 --> {'cohen_kappa': 0.0071837356107971925, 'accuracy': 0.5555790586991011, 'precision': 0.6111978587653711, 'recall': 0.5555790586991011, 'f1': 0.40533122870405763, 'roc_auc': 0.5033644940232529}, tiempo_total=0.30 segundos

C=0.01, C=0.01, gamma=auto, degree=8 --> {'cohen_kappa': 0.0028486316939144276, 'accuracy': 0.5533932663493741, 'precision': 0.6041897303701982, 'recall': 0.5533932663493741, 'f1': 0.40427561034257814, 'roc_auc': 0.5014615358702947}, tiempo_total=0.51 segundos

C=0.01, C=0.01, gamma=auto, degree=9 --> {'cohen_kappa': 0.007752824788325263, 'accuracy': 0.5555614313414419, 'precision': 0.6048113803355506, 'recall': 0.5555614313414419, 'f1': 0.408992653080103, 'roc_auc': 0.5037743700948936}, tiempo_total=0.42 segundos

C=0.01, C=0.01, gamma=auto, degree=10 --> {'cohen_kappa': 0.006003415845121984, 'accuracy': 0.5544685351665785, 'precision': 0.577871591576487, 'recall': 0.5544685351665785, 'f1': 0.4101733922788907, 'roc_auc': 0.5030678845303708}, tiempo_total=0.43 segundos

C=0.1, C=0.1, gamma=scale, degree=2 --> {'cohen_kappa': 0.6765802156805487, 'accuracy': 0.8388154415653094, 'precision': 0.8448177291630168, 'recall': 0.8388154415653094, 'f1': 0.8393156737647283, 'roc_auc': 0.8423750774620495}, tiempo_total=0.25 segundos

C=0.1, C=0.1, gamma=scale, degree=3 --> {'cohen_kappa': 0.629939120448901, 'accuracy': 0.8138198484047242, 'precision': 0.828007350771245, 'recall': 0.8138198484047242, 'f1': 0.8142568406984536, 'roc_auc': 0.8217335357496914}, tiempo_total=0.25 segundos

C=0.1, C=0.1, gamma=scale, degree=4 --> {'cohen_kappa': 0.5817965626807808, 'accuracy': 0.787660849638639, 'precision': 0.8130442689837691, 'recall': 0.787660849638639, 'f1': 0.7873428659724071, 'roc_auc': 0.7994515419855264}, tiempo_total=0.27 segundos

C=0.1, C=0.1, gamma=scale, degree=5 --> {'cohen_kappa': 0.5614482550154504, 'accuracy': 0.7756213643574827, 'precision': 0.8124322415544494, 'recall': 0.7756213643574827, 'f1': 0.774163431911434, 'roc_auc': 0.790678739185333}, tiempo_total=0.46 segundos

C=0.1, C=0.1, gamma=scale, degree=6 --> {'cohen_kappa': 0.5051793777681208, 'accuracy': 0.7451084082496033, 'precision': 0.7938900114793255, 'recall': 0.7451084082496033, 'f1': 0.7415835737943623, 'roc_auc': 0.763203781078256}, tiempo_total=0.39 segundos

C=0.1, C=0.1, gamma=scale, degree=7 --> {'cohen_kappa': 0.4741930974469983, 'accuracy': 0.7276925788824256, 'precision': 0.7862694466758584, 'recall': 0.7276925788824256, 'f1': 0.7219779885128617, 'roc_auc': 0.7479539517903574}, tiempo_total=0.31 segundos

C=0.1, C=0.1, gamma=scale, degree=8 --> {'cohen_kappa': 0.4700390893038562, 'accuracy': 0.7255420412480168, 'precision': 0.7828309958131792, 'recall': 0.7255420412480168, 'f1': 0.7197426946471743, 'roc_auc': 0.7456867796140834}, tiempo_total=0.30 segundos

