Resultados de SVM con validacion cruzada (5 folds):

C=0.001, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.6186422586971227, 'accuracy': 0.8148194345450225, 'precision': 0.8214885802226778, 'recall': 0.8148194345450225, 'f1': 0.8117761851669348, 'roc_auc': 0.8876213948511064}, tiempo_total=0.47 segundos

C=0.001, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.6186422586971227, 'accuracy': 0.8148194345450225, 'precision': 0.8214885802226778, 'recall': 0.8148194345450225, 'f1': 0.8117761851669348, 'roc_auc': 0.8876213948511064}, tiempo_total=0.55 segundos

C=0.001, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8823070111889237}, tiempo_total=0.55 segundos

C=0.001, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8832230066622155}, tiempo_total=0.52 segundos

C=0.001, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8748142676534509}, tiempo_total=0.54 segundos

C=0.001, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8721560104360508}, tiempo_total=0.54 segundos

C=0.001, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8645316325032789}, tiempo_total=0.55 segundos

C=0.001, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': -0.002183028286189703, 'accuracy': 0.5522808267997149, 'precision': 0.30595213676410854, 'recall': 0.5522808267997149, 'f1': 0.39376571310478503, 'roc_auc': 0.8486099076191694}, tiempo_total=0.55 segundos

C=0.001, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8488628776794463}, tiempo_total=0.56 segundos

C=0.001, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.0032183726971682703, 'accuracy': 0.5544666191494416, 'precision': 0.4853724078892666, 'recall': 0.5544666191494416, 'f1': 0.39862990824037015, 'roc_auc': 0.8398139598751841}, tiempo_total=0.56 segundos

C=0.001, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.0015635263047422132, 'accuracy': 0.5533737229745783, 'precision': 0.48492368068377545, 'recall': 0.5533737229745783, 'f1': 0.39999903470358233, 'roc_auc': 0.4326678220189308}, tiempo_total=0.56 segundos

C=0.001, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.882355545454115}, tiempo_total=0.51 segundos

C=0.001, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8831388411437988}, tiempo_total=0.54 segundos

C=0.001, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8747908291546513}, tiempo_total=0.53 segundos

C=0.001, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8720840376720599}, tiempo_total=0.54 segundos

C=0.001, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8645200316301358}, tiempo_total=0.54 segundos

C=0.001, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8496370583973748}, tiempo_total=0.54 segundos

C=0.001, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': -0.002183028286189703, 'accuracy': 0.5522808267997149, 'precision': 0.30595213676410854, 'recall': 0.5522808267997149, 'f1': 0.39376571310478503, 'roc_auc': 0.8323898745685187}, tiempo_total=0.56 segundos

C=0.001, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': -0.002183028286189703, 'accuracy': 0.5522808267997149, 'precision': 0.30595213676410854, 'recall': 0.5522808267997149, 'f1': 0.39376571310478503, 'roc_auc': 0.7049602019025432}, tiempo_total=0.57 segundos

C=0.001, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': -0.004366056572379406, 'accuracy': 0.5511879306248516, 'precision': 0.3056803729341614, 'recall': 0.5511879306248516, 'f1': 0.39326305048596255, 'roc_auc': 0.4321634207897117}, tiempo_total=0.54 segundos

C=0.001, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.9007566610319568}, tiempo_total=1.08 segundos

C=0.001, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8991465071901737}, tiempo_total=0.99 segundos

C=0.001, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8829545293123285}, tiempo_total=0.72 segundos

C=0.001, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.883773219502725}, tiempo_total=0.71 segundos

C=0.01, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.6807786972610821, 'accuracy': 0.8431337609883582, 'precision': 0.8439827669664066, 'recall': 0.8431337609883582, 'f1': 0.8424484708571434, 'roc_auc': 0.9045541713425289}, tiempo_total=0.34 segundos

C=0.01, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.6807786972610821, 'accuracy': 0.8431337609883582, 'precision': 0.8439827669664066, 'recall': 0.8431337609883582, 'f1': 0.8424484708571434, 'roc_auc': 0.9045541713425289}, tiempo_total=0.34 segundos

C=0.01, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.5566337405575513, 'accuracy': 0.787592064623426, 'precision': 0.8105224351873362, 'recall': 0.787592064623426, 'f1': 0.7792370615296171, 'roc_auc': 0.882283335937611}, tiempo_total=0.49 segundos

C=0.01, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.634081686489092, 'accuracy': 0.8213649322879544, 'precision': 0.8254047502508108, 'recall': 0.8213649322879544, 'f1': 0.8195543840459296, 'roc_auc': 0.8831861916464243}, tiempo_total=0.50 segundos

C=0.01, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.6143399876430575, 'accuracy': 0.8115763839391779, 'precision': 0.8173870573432656, 'recall': 0.8115763839391779, 'f1': 0.8090545104795865, 'roc_auc': 0.8756530818074635}, tiempo_total=0.51 segundos

C=0.01, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.6420361094746535, 'accuracy': 0.8212936564504634, 'precision': 0.8274882368305854, 'recall': 0.8212936564504634, 'f1': 0.8211453684860828, 'roc_auc': 0.8735244399619301}, tiempo_total=0.56 segundos

C=0.01, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.5757874307113415, 'accuracy': 0.7853587550487052, 'precision': 0.805993194522884, 'recall': 0.7853587550487052, 'f1': 0.7845302143072054, 'roc_auc': 0.8682751632408579}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.4694870168922294, 'accuracy': 0.7254751722499406, 'precision': 0.7876980764279348, 'recall': 0.7254751722499406, 'f1': 0.7183534927776042, 'roc_auc': 0.8686840348310298}, tiempo_total=0.54 segundos

C=0.01, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.35990547564692343, 'accuracy': 0.6633879781420765, 'precision': 0.7669891429838958, 'recall': 0.6633879781420765, 'f1': 0.6433546214547915, 'roc_auc': 0.8617877892523829}, tiempo_total=0.55 segundos

C=0.01, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.3126658375418915, 'accuracy': 0.6361724875267284, 'precision': 0.7565857482340007, 'recall': 0.6361724875267284, 'f1': 0.6078279339314273, 'roc_auc': 0.8682771756372194}, tiempo_total=0.56 segundos

C=0.01, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.29168803581674146, 'accuracy': 0.6241743882157282, 'precision': 0.7499001477609007, 'recall': 0.6241743882157282, 'f1': 0.5920477769072604, 'roc_auc': 0.8685072990799798}, tiempo_total=0.56 segundos

C=0.01, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.024187339297700828, 'accuracy': 0.563191969588976, 'precision': 0.7558922634957502, 'recall': 0.563191969588976, 'f1': 0.4158264014002305, 'roc_auc': 0.882283335937611}, tiempo_total=0.51 segundos

C=0.01, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.013460875898614843, 'accuracy': 0.5588263245426468, 'precision': 0.6653993393377544, 'recall': 0.5588263245426468, 'f1': 0.40637998013938975, 'roc_auc': 0.883091017136147}, tiempo_total=0.51 segundos

C=0.01, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.0026888519134775192, 'accuracy': 0.5544666191494416, 'precision': 0.39617612043071515, 'recall': 0.5544666191494416, 'f1': 0.39670525904269294, 'roc_auc': 0.8748264604078771}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.0053777038269550385, 'accuracy': 0.555559515324305, 'precision': 0.4861283402673746, 'recall': 0.555559515324305, 'f1': 0.39914214236177836, 'roc_auc': 0.8721079496758858}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.008089963907123243, 'accuracy': 0.55664053219292, 'precision': 0.5751086872905495, 'recall': 0.55664053219292, 'f1': 0.4015556615970463, 'roc_auc': 0.8648196419354992}, tiempo_total=0.54 segundos

C=0.01, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.011301196054326357, 'accuracy': 0.5577334283677834, 'precision': 0.6651304504476279, 'recall': 0.5577334283677834, 'f1': 0.4058680119761077, 'roc_auc': 0.86070784266375}, tiempo_total=0.52 segundos

C=0.01, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.009128772009642372, 'accuracy': 0.5566464718460443, 'precision': 0.6351510575929048, 'recall': 0.5566464718460443, 'f1': 0.40531595730338427, 'roc_auc': 0.8537141734259508}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.011810832087656454, 'accuracy': 0.5577393680209076, 'precision': 0.63548948980345, 'recall': 0.5577393680209076, 'f1': 0.4077033925266423, 'roc_auc': 0.8440830811919069}, tiempo_total=0.54 segundos

C=0.01, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.009627164965457813, 'accuracy': 0.5566464718460442, 'precision': 0.5904093307028218, 'recall': 0.5566464718460442, 'f1': 0.40717422336834996, 'roc_auc': 0.8428537437674901}, tiempo_total=0.54 segundos

C=0.01, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.2037585326770123, 'accuracy': 0.6372297457828463, 'precision': 0.7739197709122168, 'recall': 0.6372297457828463, 'f1': 0.5570347486406451, 'roc_auc': 0.900781046540809}, tiempo_total=0.99 segundos

C=0.01, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.24266242239839403, 'accuracy': 0.6535697315276788, 'precision': 0.7823804460814194, 'recall': 0.6535697315276788, 'f1': 0.5848382513205758, 'roc_auc': 0.8992918732332343}, tiempo_total=0.98 segundos

C=0.01, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.5627770760124189, 'accuracy': 0.7897481587075316, 'precision': 0.8051193618619594, 'recall': 0.7897481587075316, 'f1': 0.7830856732559905, 'roc_auc': 0.883495508804826}, tiempo_total=0.74 segundos

C=0.01, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.5203254631166158, 'accuracy': 0.7712520788785936, 'precision': 0.7981971989710903, 'recall': 0.7712520788785936, 'f1': 0.7602658598424687, 'roc_auc': 0.883617909854113}, tiempo_total=0.71 segundos

C=0.1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7036363292470817, 'accuracy': 0.8540449037776193, 'precision': 0.8550459870630183, 'recall': 0.8540449037776193, 'f1': 0.8536046953813996, 'roc_auc': 0.9065369736399752}, tiempo_total=0.33 segundos

C=0.1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7036363292470817, 'accuracy': 0.8540449037776193, 'precision': 0.8550459870630183, 'recall': 0.8540449037776193, 'f1': 0.8536046953813996, 'roc_auc': 0.9065369736399752}, tiempo_total=0.36 segundos

C=0.1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.6629256418436235, 'accuracy': 0.8322523164647185, 'precision': 0.8351145181235683, 'recall': 0.8322523164647185, 'f1': 0.8326008536868571, 'roc_auc': 0.8979757660127561}, tiempo_total=0.44 segundos

