Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.5135736554696869, 'accuracy': 0.766904252791637, 'precision': 0.7856187807347529, 'recall': 0.766904252791637, 'f1': 0.757953317732533, 'roc_auc': 0.8504334938515372}, tiempo_total=0.14 segundos

C=0.01, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.5135736554696869, 'accuracy': 0.766904252791637, 'precision': 0.7856187807347529, 'recall': 0.766904252791637, 'f1': 0.757953317732533, 'roc_auc': 0.8504334938515372}, tiempo_total=0.17 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6604431645841204, 'accuracy': 0.8333155143739605, 'precision': 0.8344391023083876, 'recall': 0.8333155143739605, 'f1': 0.8324494837949498, 'roc_auc': 0.8982080202281347}, tiempo_total=0.13 segundos

C=0.01, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6604431645841204, 'accuracy': 0.8333155143739605, 'precision': 0.8344391023083876, 'recall': 0.8333155143739605, 'f1': 0.8324494837949498, 'roc_auc': 0.8982080202281347}, tiempo_total=0.15 segundos

C=0.01, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6604431645841204, 'accuracy': 0.8333155143739605, 'precision': 0.8344391023083876, 'recall': 0.8333155143739605, 'f1': 0.8324494837949498, 'roc_auc': 0.8982558442357866}, tiempo_total=0.17 segundos

C=0.01, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6738301917247298, 'accuracy': 0.8398491328106438, 'precision': 0.8409954322456639, 'recall': 0.8398491328106438, 'f1': 0.839028941844453, 'roc_auc': 0.9016361966182271}, tiempo_total=0.12 segundos

